№,Recording,Reference,Prediction,IsCorrect
1,A0001,5,5,True
2,A0002,1,1,True
3,A0003,2,2,True
4,A0004,2,2,True
5,A0005,7,7,True
6,A0006,5,5,True
7,A0007,2,2,True
8,A0008,8,8,True
9,A0009,2,2,True
10,A0010,5,5,True
11,A0011,4,4,True
12,A0012,7,7,True
13,A0013,8,8,True
14,A0014,8,8,True
15,A0015,5,5,True
16,A0016,1,1,True
17,A0017,2,2,True
18,A0018,4,4,True
19,A0019,2,2,True
20,A0020,1,1,True
21,A0021,9,9,True
22,A0022,5,5,True
23,A0023,2,2,True
24,A0024,7,7,True
25,A0025,7,7,True
26,A0026,2,2,True
27,A0027,5,5,True
28,A0028,5,5,True
29,A0029,1,1,True
30,A0030,1,1,True
31,A0031,7,8,False
32,A0032,9,9,True
33,A0033,8,8,True
34,A0034,9,9,True
35,A0035,5,5,True
36,A0036,9,9,True
37,A0037,1,1,True
38,A0038,1,1,True
39,A0039,3,3,True
40,A0040,8,8,True
41,A0041,1,1,True
42,A0042,3,5,False
43,A0043,"2, 5",5,True
44,A0044,4,4,True
45,A0045,7,7,True
46,A0046,9,9,True
47,A0047,6,1,False
48,A0048,8,8,True
49,A0049,6,6,True
50,A0050,7,1,False
51,A0051,5,5,True
52,A0052,7,7,True
53,A0053,5,5,True
54,A0054,9,1,False
55,A0055,6,8,False
56,A0056,8,8,True
57,A0057,4,4,True
58,A0058,9,9,True
59,A0059,1,1,True
60,A0060,8,8,True
61,A0061,2,2,True
62,A0062,6,1,False
63,A0063,9,9,True
64,A0064,2,2,True
65,A0065,2,2,True
66,A0066,5,5,True
67,A0067,8,8,True
68,A0068,5,5,True
69,A0069,5,5,True
70,A0070,3,3,True
71,A0071,2,2,True
72,A0072,9,9,True
73,A0073,1,1,True
74,A0074,4,4,True
75,A0075,1,1,True
76,A0076,8,8,True
77,A0077,8,8,True
78,A0078,5,5,True
79,A0079,"2, 5",2,True
80,A0080,6,8,False
81,A0081,4,4,True
82,A0082,4,4,True
83,A0083,5,5,True
84,A0084,7,6,False
85,A0085,5,5,True
86,A0086,2,2,True
87,A0087,5,5,True
88,A0088,7,7,True
89,A0089,1,1,True
90,A0090,1,3,False
91,A0091,6,1,False
92,A0092,8,8,True
93,A0093,9,4,False
94,A0094,1,1,True
95,A0095,5,5,True
96,A0096,5,5,True
97,A0097,6,1,False
98,A0098,5,5,True
99,A0099,7,7,True
100,A0100,8,8,True
